="주문일자",="주문번호",="접수상태",="체결상태",="계좌번호",="계좌명",="종목",="매매구분",="주문구분",="주문가격",="주문수량",="정정수량",="취소수량",="체결수량",="주문시간",="통화",="체결금액",="체결조건",="주문시작",="주문종료",="행사",
="20250219",="25GS000321",="정상접수",="체결",="005442",="모의_윤상범",="CLJ25",="매수",="신규주문",="0.00",="5",="0",="0",="5",="20:26:17",="USD",="0",="DAY",="20250219",="",="N",
="20250219",="25GS000320",="정상접수",="",="005442",="모의_윤상범",="CLJ25",="매수",="전량취소",="72.34",="5",="0",="5",="0",="20:26:12",="USD",="361700",="DAY",="20250219",="",="N",
="20250219",="25GS000318",="정상접수",="취소",="005442",="모의_윤상범",="CLJ25",="매수",="신규주문",="72.34",="5",="0",="5",="0",="20:25:01",="USD",="361700",="DAY",="20250219",="",="N",
="20250219",="25GS000317",="정상접수",="체결",="005442",="모의_윤상범",="CLJ25",="매도",="신규주문",="0.00",="5",="0",="0",="5",="20:24:54",="USD",="0",="DAY",="20250219",="",="N",
="20250219",="25GS000303",="정상접수",="체결",="005442",="모의_윤상범",="GCJ25",="매도",="신규주문",="0.0",="4",="0",="0",="4",="18:37:02",="USD",="0",="DAY",="20250219",="",="N",
="20250219",="25GS000302",="정상접수",="체결",="005442",="모의_윤상범",="GCJ25",="매수",="신규주문",="0.0",="1",="0",="0",="1",="18:36:05",="USD",="0",="DAY",="20250219",="",="N",
="20250219",="25GS000301",="정상접수",="체결",="005442",="모의_윤상범",="GCJ25",="매수",="신규주문",="0.0",="2",="0",="0",="2",="18:35:37",="USD",="0",="DAY",="20250219",="",="N",
="20250219",="25GS000299",="정상접수",="체결",="005442",="모의_윤상범",="GCJ25",="매도",="신규주문",="0.0",="1",="0",="0",="1",="18:35:11",="USD",="0",="DAY",="20250219",="",="N",
="20250219",="25GS000295",="정상접수",="체결",="005442",="모의_윤상범",="GCJ25",="매수",="신규주문",="2963.2",="2",="0",="0",="2",="18:34:32",="USD",="592640",="DAY",="20250219",="",="N",
="20250219",="25GS000294",="정상접수",="",="005442",="모의_윤상범",="GCJ25",="매도",="전량취소",="2963.0",="2",="0",="2",="0",="18:34:23",="USD",="592600",="DAY",="20250219",="",="N",
="20250219",="25GS000291",="정상접수",="체결",="005442",="모의_윤상범",="GCJ25",="매도",="신규주문",="0.0",="2",="0",="0",="2",="18:34:11",="USD",="0",="DAY",="20250219",="",="N",
="20250219",="25GS000289",="정상접수",="취소",="005442",="모의_윤상범",="GCJ25",="매도",="신규주문",="2963.0",="2",="0",="2",="0",="18:34:07",="USD",="592600",="DAY",="20250219",="",="N",
="20250219",="25GS000287",="정상접수",="체결",="005442",="모의_윤상범",="GCJ25",="매수",="신규주문",="2963.8",="2",="0",="0",="2",="18:33:58",="USD",="592760",="DAY",="20250219",="",="N",
